invoice_id,duplicate_match_id,duplicate_score
INV-0040,INV-0019,1.0
INV-0039,INV-0024,1.0
INV-0019,INV-0040,1.0
INV-0024,INV-0039,1.0
INV-0008,INV-0033,0.6133
INV-0033,INV-0008,0.6133
INV-0022,INV-0025,0.5498
INV-0013,INV-0010,0.5261
INV-0010,INV-0013,0.5261
INV-0025,INV-0022,0.4277
INV-0026,INV-0028,0.3848
INV-0028,INV-0026,0.3848
INV-0023,INV-0031,0.3798
INV-0031,INV-0023,0.3798
INV-0006,INV-0014,0.3641
INV-0014,INV-0006,0.3641
INV-0016,INV-0010,0.3623
INV-0003,INV-0037,0.2903
INV-0037,INV-0003,0.2903
INV-0035,INV-0018,0.2799
INV-0018,INV-0035,0.2799
INV-0012,INV-0014,0.25
INV-0009,INV-0016,0.2486
INV-0015,INV-0016,0.2402
INV-0034,INV-0023,0.2372
INV-0007,INV-0011,0.225
INV-0011,INV-0007,0.225
INV-0001,INV-0034,0.2167
INV-0038,INV-0007,0.2111
INV-0002,INV-0022,0.2083
INV-0032,INV-0025,0.1897
INV-0005,INV-0018,0.1861
INV-0036,INV-0024,0.1847
INV-0004,INV-0013,0.1833
INV-0027,INV-0022,0.1806
INV-0017,INV-0033,0.1687
INV-0020,INV-0001,0.1426
INV-0021,INV-0011,0.0944
INV-0030,INV-0022,0.0932
INV-0029,INV-0013,0.0877
