invoice_id,amount_zscore_norm,threshold_proximity,duplicate_score,weekend_flag,days_to_due_norm,label
INV-0001,0.20052119201715576,0.501514,0.2167,1.0,0.3333333333333333,1
INV-0002,0.34167265031735705,0.21533000000000002,0.2083,1.0,0.0,1
INV-0003,0.6198812475438605,0.305188,0.2903,1.0,0.3333333333333333,1
INV-0004,0.42105825181654627,0.11955899999999997,0.1833,1.0,0.6666666666666666,1
INV-0005,1.0,0.0,0.1861,0.0,0.0,1
INV-0006,0.1429878257216395,0.0,0.3641,0.0,0.6666666666666666,1
INV-0007,0.47220728812564233,0.0,0.225,0.0,0.3333333333333333,1
INV-0008,0.06997743667443511,0.691488,0.6133,1.0,1.0,1
INV-0009,0.5454790265357342,0.968205,0.2486,0.0,0.6666666666666666,1
INV-0010,0.17181893309022864,0.9850209999999999,0.5261,0.0,0.0,1
INV-0011,0.7388285078754707,0.0,0.225,0.0,1.0,1
INV-0012,0.6258692768659458,0.0,0.25,0.0,0.3333333333333333,1
INV-0013,0.18144307463834372,0.9516020000000001,0.5261,0.0,0.6666666666666666,1
INV-0014,0.48288145114430553,0.0,0.3641,0.0,0.6666666666666666,1
INV-0015,0.7635288722425241,0.9956360000000001,0.2402,0.0,1.0,1
INV-0016,0.4956194113376283,0.987175,0.3623,0.0,0.6666666666666666,1
INV-0017,0.2693360778120062,0.723367,0.1687,0.0,1.0,0
INV-0018,0.22567974045488126,0.797994,0.2799,0.0,0.3333333333333333,0
INV-0019,0.5164924712546922,0.11818200000000001,1.0,0.0,0.0,0
INV-0020,0.04733806908559494,0.5205850000000001,0.1426,0.0,1.0,0
INV-0021,0.41664495922966965,0.33857499999999996,0.0944,0.0,1.0,0
INV-0022,0.6714196209746919,0.778309,0.5498,0.0,0.0,0
INV-0023,0.44559924921726257,0.613158,0.3798,0.0,0.6666666666666666,0
INV-0024,0.574367194889943,0.376074,1.0,0.0,1.0,0
INV-0025,0.0,0.7789159999999999,0.4277,0.0,0.3333333333333333,0
INV-0026,0.5356997822225424,0.7028890000000001,0.3848,0.0,0.6666666666666666,0
INV-0027,0.43291014096403874,0.16462900000000014,0.1806,0.0,0.3333333333333333,0
INV-0028,0.600448330593546,0.7388699999999999,0.3848,0.0,0.6666666666666666,0
INV-0029,0.4016629077623842,0.13390100000000005,0.0877,0.0,0.6666666666666666,0
INV-0030,0.9576821317908594,0.09344400000000008,0.0932,0.0,0.0,0
INV-0031,0.655797071477027,0.6620170000000001,0.3798,0.0,0.3333333333333333,0
INV-0032,0.12426183620623212,0.760137,0.1897,0.0,0.3333333333333333,0
INV-0033,0.09203612446394387,0.704325,0.6133,0.0,1.0,0
INV-0034,0.023721189693608473,0.616449,0.2372,0.0,0.3333333333333333,0
INV-0035,0.25018954411674577,0.796362,0.2799,0.0,0.6666666666666666,0
INV-0036,0.4016629077623843,0.38861499999999993,0.1847,0.0,0.3333333333333333,0
INV-0037,0.5867288699189769,0.30356399999999994,0.2903,0.0,0.3333333333333333,0
INV-0038,0.5250547589594373,0.055393000000000026,0.2111,0.0,0.0,0
INV-0039,0.574367194889943,0.376074,1.0,0.0,1.0,1
INV-0040,0.5164924712546922,0.11818200000000001,1.0,0.0,0.0,1
